respondent_id,task_position,task_id,intersection_a,intersection_b,choice,winner,loser
565642399,1,1,182270019,186275023,2,186275023,182270019
565642399,2,2,184273072,600111024,2,600111024,184273072
565642399,3,3,181265038,182272213,2,182272213,181265038
565642399,4,4,183272020,188278029,2,188278029,183272020
565642399,5,5,181277036,188266127,2,188266127,181277036
565642399,6,6,181273107,600488624,2,600488624,181273107
565642399,7,7,184273072,600488624,2,600488624,184273072
565642399,8,8,600409842,600483010,2,600483010,600409842
565642399,9,9,183263020,194264006,2,194264006,183263020
565642399,10,10,182274179,190273120,2,190273120,182274179
565642399,11,11,181271108,182270019,2,182270019,181271108
565642399,12,12,178273039,191272052,2,191272052,178273039
565642399,13,13,176275195,183272020,2,183272020,176275195
565642399,14,14,178273039,183263020,2,183263020,178273039
565642399,15,15,181272016,600483010,2,600483010,181272016
565642399,16,16,181265038,183272020,2,183272020,181265038
565642399,17,17,177273181,186275043,2,186275043,177273181
565642399,18,18,183272020,600483010,2,600483010,183272020
565642399,19,19,183277002,187265053,2,187265053,183277002
565642399,20,20,178273039,183272020,2,183272020,178273039
565642399,21,21,181277036,188274050,2,188274050,181277036
565642399,22,22,176275195,183277002,2,183277002,176275195
565642399,23,23,182274179,600097669,2,600097669,182274179
565642399,24,24,183277002,600483010,2,600483010,183277002
565642399,25,25,180271045,600483010,2,600483010,180271045
565642399,26,26,183263020,183278091,2,183278091,183263020
565642399,27,27,186274160,189267114,2,189267114,186274160
565642399,28,28,181265038,600097669,2,600097669,181265038
565642399,29,29,179265077,183277002,2,183277002,179265077
565642399,30,30,186275130,191269022,2,191269022,186275130
565642399,31,31,176275195,187271099,2,187271099,176275195
565642399,32,32,176275195,600483010,2,600483010,176275195
565642399,33,33,183277002,192266023,2,192266023,183277002
565642399,34,34,178273039,187263039,2,187263039,178273039
565642399,35,35,186273103,186279088,2,186279088,186273103
565642399,36,36,178273039,191275054,2,191275054,178273039
851656988,1,1,182270019,186275023,2,186275023,182270019
851656988,2,2,184273072,600111024,1,184273072,600111024
851656988,3,3,181265038,182272213,1,181265038,182272213
851656988,4,4,183272020,188278029,2,188278029,183272020
851656988,5,5,181277036,188266127,1,181277036,188266127
851656988,6,6,181273107,600488624,1,181273107,600488624
851656988,7,7,184273072,600488624,2,600488624,184273072
851656988,8,8,600409842,600483010,2,600483010,600409842
851656988,9,9,183263020,194264006,2,194264006,183263020
851656988,10,10,182274179,190273120,1,182274179,190273120
851656988,11,11,181271108,182270019,2,182270019,181271108
851656988,12,12,178273039,191272052,1,178273039,191272052
851656988,13,13,176275195,183272020,1,176275195,183272020
851656988,14,14,178273039,183263020,1,178273039,183263020
851656988,15,15,181272016,600483010,2,600483010,181272016
851656988,16,16,181265038,183272020,1,181265038,183272020
851656988,17,17,177273181,186275043,2,186275043,177273181
851656988,18,18,183272020,600483010,2,600483010,183272020
851656988,19,19,183277002,187265053,1,183277002,187265053
851656988,20,20,178273039,183272020,1,178273039,183272020
851656988,21,21,181277036,188274050,1,181277036,188274050
851656988,22,22,176275195,183277002,2,183277002,176275195
851656988,23,23,182274179,600097669,1,182274179,600097669
851656988,24,24,183277002,600483010,2,600483010,183277002
851656988,25,25,180271045,600483010,1,180271045,600483010
851656988,26,26,183263020,183278091,1,183263020,183278091
851656988,27,27,186274160,189267114,2,189267114,186274160
851656988,28,28,181265038,600097669,1,181265038,600097669
851656988,29,29,179265077,183277002,1,179265077,183277002
851656988,30,30,186275130,191269022,2,191269022,186275130
851656988,31,31,176275195,187271099,2,187271099,176275195
851656988,32,32,176275195,600483010,2,600483010,176275195
851656988,33,33,183277002,192266023,2,192266023,183277002
851656988,34,34,178273039,187263039,2,187263039,178273039
851656988,35,35,186273103,186279088,2,186279088,186273103
851656988,36,36,178273039,191275054,1,178273039,191275054
935789013,1,1,182270019,186275023,2,186275023,182270019
935789013,2,2,184273072,600111024,2,600111024,184273072
935789013,3,3,181265038,182272213,2,182272213,181265038
935789013,4,4,183272020,188278029,2,188278029,183272020
935789013,5,5,181277036,188266127,2,188266127,181277036
935789013,6,6,181273107,600488624,2,600488624,181273107
935789013,7,7,184273072,600488624,2,600488624,184273072
935789013,8,8,600409842,600483010,2,600483010,600409842
935789013,9,9,183263020,194264006,2,194264006,183263020
935789013,10,10,182274179,190273120,2,190273120,182274179
935789013,11,11,181271108,182270019,2,182270019,181271108
935789013,12,12,178273039,191272052,2,191272052,178273039
935789013,13,13,176275195,183272020,2,183272020,176275195
935789013,14,14,178273039,183263020,2,183263020,178273039
935789013,15,15,181272016,600483010,2,600483010,181272016
935789013,16,16,181265038,183272020,2,183272020,181265038
935789013,17,17,177273181,186275043,2,186275043,177273181
935789013,18,18,183272020,600483010,2,600483010,183272020
935789013,19,19,183277002,187265053,2,187265053,183277002
935789013,20,20,178273039,183272020,2,183272020,178273039
935789013,21,21,181277036,188274050,2,188274050,181277036
935789013,22,22,176275195,183277002,2,183277002,176275195
935789013,23,23,182274179,600097669,2,600097669,182274179
935789013,24,24,183277002,600483010,2,600483010,183277002
935789013,25,25,180271045,600483010,2,600483010,180271045
935789013,26,26,183263020,183278091,2,183278091,183263020
935789013,27,27,186274160,189267114,2,189267114,186274160
935789013,28,28,181265038,600097669,2,600097669,181265038
935789013,29,29,179265077,183277002,2,183277002,179265077
935789013,30,30,186275130,191269022,2,191269022,186275130
935789013,31,31,176275195,187271099,2,187271099,176275195
935789013,32,32,176275195,600483010,2,600483010,176275195
935789013,33,33,183277002,192266023,2,192266023,183277002
935789013,34,34,178273039,187263039,2,187263039,178273039
935789013,35,35,186273103,186279088,2,186279088,186273103
935789013,36,36,178273039,191275054,2,191275054,178273039
940909515,1,1,182270019,186275023,2,186275023,182270019
940909515,2,2,184273072,600111024,2,600111024,184273072
940909515,3,3,181265038,182272213,2,182272213,181265038
940909515,4,4,183272020,188278029,2,188278029,183272020
940909515,5,5,181277036,188266127,2,188266127,181277036
940909515,6,6,181273107,600488624,2,600488624,181273107
940909515,7,7,184273072,600488624,2,600488624,184273072
940909515,8,8,600409842,600483010,2,600483010,600409842
940909515,9,9,183263020,194264006,2,194264006,183263020
940909515,10,10,182274179,190273120,2,190273120,182274179
940909515,11,11,181271108,182270019,2,182270019,181271108
940909515,12,12,178273039,191272052,2,191272052,178273039
940909515,13,13,176275195,183272020,2,183272020,176275195
940909515,14,14,178273039,183263020,2,183263020,178273039
940909515,15,15,181272016,600483010,2,600483010,181272016
940909515,16,16,181265038,183272020,2,183272020,181265038
940909515,17,17,177273181,186275043,2,186275043,177273181
940909515,18,18,183272020,600483010,2,600483010,183272020
940909515,19,19,183277002,187265053,2,187265053,183277002
940909515,20,20,178273039,183272020,2,183272020,178273039
940909515,21,21,181277036,188274050,2,188274050,181277036
940909515,22,22,176275195,183277002,2,183277002,176275195
940909515,23,23,182274179,600097669,2,600097669,182274179
940909515,24,24,183277002,600483010,2,600483010,183277002
940909515,25,25,180271045,600483010,2,600483010,180271045
940909515,26,26,183263020,183278091,2,183278091,183263020
940909515,27,27,186274160,189267114,2,189267114,186274160
940909515,28,28,181265038,600097669,2,600097669,181265038
940909515,29,29,179265077,183277002,2,183277002,179265077
940909515,30,30,186275130,191269022,2,191269022,186275130
940909515,31,31,176275195,187271099,2,187271099,176275195
940909515,32,32,176275195,600483010,2,600483010,176275195
940909515,33,33,183277002,192266023,2,192266023,183277002
940909515,34,34,178273039,187263039,2,187263039,178273039
940909515,35,35,186273103,186279088,2,186279088,186273103
940909515,36,36,178273039,191275054,2,191275054,178273039
1069040705,1,37,176275195,600483010,2,600483010,176275195
1069040705,2,38,179265069,185274084,2,185274084,179265069
1069040705,3,39,185273145,189267114,2,189267114,185273145
1069040705,4,40,189276040,600488624,2,600488624,189276040
1069040705,5,41,181277036,190267091,2,190267091,181277036
1069040705,6,42,187274156,190273120,2,190273120,187274156
1069040705,7,43,184273056,184273072,2,184273072,184273056
1069040705,8,44,178273039,185277012,2,185277012,178273039
1069040705,9,45,183268031,191269022,2,191269022,183268031
1069040705,10,46,183263020,184263029,2,184263029,183263020
1069040705,11,47,184267042,600483010,2,600483010,184267042
1069040705,12,48,185274093,600483010,2,600483010,185274093
1069040705,13,49,181265038,187270060,2,187270060,181265038
1069040705,14,50,181277036,184268129,2,184268129,181277036
1069040705,15,51,183272020,600483010,2,600483010,183272020
1069040705,16,52,179274126,183272020,2,183272020,179274126
1069040705,17,53,184273072,189275160,2,189275160,184273072
1069040705,18,54,182270019,600483010,2,600483010,182270019
1069040705,19,55,180271187,183272020,2,183272020,180271187
1069040705,20,56,178273039,190264011,2,190264011,178273039
1069040705,21,57,178273039,183272020,2,183272020,178273039
1069040705,22,58,183277002,187265053,2,187265053,183277002
1069040705,23,59,182270019,183263018,2,183263018,182270019
1069040705,24,60,183277002,600483010,2,600483010,183277002
1069040705,25,61,180271187,186274160,2,186274160,180271187
1069040705,26,62,183263020,183264037,2,183264037,183263020
1069040705,27,63,182270019,185276028,2,185276028,182270019
1069040705,28,64,176275195,183277002,2,183277002,176275195
1069040705,29,65,183268167,183277002,2,183277002,183268167
1069040705,30,66,181263098,181265038,2,181265038,181263098
1069040705,31,67,183277002,188269140,2,188269140,183277002
1069040705,32,68,186274160,600097669,2,600097669,186274160
1069040705,33,69,181265038,188274022,2,188274022,181265038
1069040705,34,70,181277036,182268014,2,182268014,181277036
1069040705,35,71,176275195,183272020,2,183272020,176275195
1069040705,36,72,178273039,183263020,2,183263020,178273039
22845572514,1,37,176275195,600483010,2,600483010,176275195
22845572514,2,38,179265069,185274084,1,179265069,185274084
22845572514,3,39,185273145,189267114,1,185273145,189267114
22845572514,4,40,189276040,600488624,2,600488624,189276040
22845572514,5,41,181277036,190267091,2,190267091,181277036
22845572514,6,42,187274156,190273120,2,190273120,187274156
22845572514,7,43,184273056,184273072,2,184273072,184273056
22845572514,8,44,178273039,185277012,2,185277012,178273039
22845572514,9,45,183268031,191269022,2,191269022,183268031
22845572514,10,46,183263020,184263029,2,184263029,183263020
22845572514,11,47,184267042,600483010,2,600483010,184267042
22845572514,12,48,185274093,600483010,2,600483010,185274093
22845572514,13,49,181265038,187270060,2,187270060,181265038
22845572514,14,50,181277036,184268129,2,184268129,181277036
22845572514,15,51,183272020,600483010,2,600483010,183272020
22845572514,16,52,179274126,183272020,2,183272020,179274126
22845572514,17,53,184273072,189275160,2,189275160,184273072
22845572514,18,54,182270019,600483010,2,600483010,182270019
22845572514,19,55,180271187,183272020,2,183272020,180271187
22845572514,20,56,178273039,190264011,2,190264011,178273039
22845572514,21,57,178273039,183272020,2,183272020,178273039
22845572514,22,58,183277002,187265053,2,187265053,183277002
22845572514,23,59,182270019,183263018,2,183263018,182270019
22845572514,24,60,183277002,600483010,2,600483010,183277002
22845572514,25,61,180271187,186274160,2,186274160,180271187
22845572514,26,62,183263020,183264037,2,183264037,183263020
22845572514,27,63,182270019,185276028,2,185276028,182270019
22845572514,28,64,176275195,183277002,2,183277002,176275195
22845572514,29,65,183268167,183277002,2,183277002,183268167
22845572514,30,66,181263098,181265038,2,181265038,181263098
22845572514,31,67,183277002,188269140,2,188269140,183277002
22845572514,32,68,186274160,600097669,2,600097669,186274160
22845572514,33,69,181265038,188274022,2,188274022,181265038
22845572514,34,70,181277036,182268014,2,182268014,181277036
22845572514,35,71,176275195,183272020,2,183272020,176275195
22845572514,36,72,178273039,183263020,2,183263020,178273039
